,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code
71,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1981,04-01,1981,11-01,none,yield,0.45762712,reported
72,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1981,04-01,1981,11-01,none,yield,2.63636364,reported
73,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1981,04-01,1981,11-01,none,yield,1.23827392,reported
74,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1981,04-01,1981,11-01,none,yield,1.87755102,reported
75,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,812000.0,reported
76,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,1108000.0,reported
77,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,1.36,reported
78,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,112000.0,reported
79,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,97000.0,reported
80,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,0.87,reported
81,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,3000.0,reported
82,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,3000.0,reported
83,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,1.0,reported
84,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,118000.0,reported
85,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,54000.0,reported
86,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,0.46,reported
87,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,92000.0,reported
88,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,147000.0,reported
89,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,1.6,reported
90,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,49000.0,reported
91,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,92000.0,reported
92,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,1.88,reported
93,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,66000.0,reported
94,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,174000.0,reported
95,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,2.64,reported
96,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,2000.0,reported
97,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,4000.0,reported
98,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,2.0,reported
99,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),area,533000.0,reported
100,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),production,660000.0,reported
101,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1981,04-01,1981,11-01,Commercial (PS),yield,1.24,reported
102,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1982,04-01,1982,11-01,none,yield,1.28209765,reported
103,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1982,04-01,1982,11-01,none,yield,2.18390805,reported
104,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1982,04-01,1982,11-01,none,yield,0.39837398,reported
105,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1982,04-01,1982,11-01,none,yield,1.625,reported
106,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1982,04-01,1982,11-01,none,yield,1.18248945,reported
107,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1982,04-01,1982,11-01,none,yield,1.33333333,reported
108,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1982,04-01,1982,11-01,none,yield,0.67857143,reported
109,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,2000.0,reported
110,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,11000.0,reported
111,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,5.5,reported
112,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,123000.0,reported
113,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,49000.0,reported
114,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,0.4,reported
115,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,3000.0,reported
116,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,4000.0,reported
117,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,1.33,reported
118,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,112000.0,reported
119,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,76000.0,reported
120,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,0.68,reported
121,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,50000.0,reported
122,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,104000.0,reported
123,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,2.08,reported
124,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,948000.0,reported
125,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,1121000.0,reported
126,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,1.18,reported
127,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,553000.0,reported
128,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,709000.0,reported
129,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,1.28,reported
130,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,87000.0,reported
131,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,190000.0,reported
132,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,2.18,reported
133,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),area,96000.0,reported
134,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),production,156000.0,reported
135,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1982,04-01,1982,11-01,Commercial (PS),yield,1.62,reported
136,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1983,04-01,1983,11-01,none,yield,0.83594807,reported
137,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1983,04-01,1983,11-01,none,yield,0.48838843,reported
138,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1983,04-01,1983,11-01,none,yield,0.24101942,reported
