,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN1FR,ADMIN1SP,ADMIN1PT,ALIASES,ADMIN2,ADMIN2FR,ADMIN2SP,ADMIN2PT
168,SO1990A22304,1990,SO,Somalia,Lower Shabelle,,,,~Kurtun Warrey~Kurtunwaarreey~Kurtunwarey~,Kurtunwaarey,,,
169,SO1990A22305,1990,SO,Somalia,Lower Shabelle,,,,~Qoryoley~Qoryoyley~Qoriyoley~,Qoryooley,,,
170,SO1990A22306,1990,SO,Somalia,Lower Shabelle,,,,~Sablale~,Sablaale,,,
171,SO1990A22307,1990,SO,Somalia,Lower Shabelle,,,,~Wanle Weyne~Wanlaweyne~Wanlaweyn~Wanla-Weyn~,Wanla Weyn,,,
172,SO1990A22401,1990,SO,Somalia,Bay,,,,~Baidoa~Baydhaba~Badhaba~,Baydhabo,,,
173,SO1990A22402,1990,SO,Somalia,Bay,,,,~Bur Hakaba~Buurhakaba~Burhakaba~,Buur Hakaba,,,
174,SO1990A22403,1990,SO,Somalia,Bay,,,,~Dinsor~Dinsoor~,Diinsoor,,,
175,SO1990A22404,1990,SO,Somalia,Bay,,,,~Qansah Dere~Qansax Dhere~Qasah Dere~Qansahdhere~Qansadhere~Qasahdhere~,Qansax Dheere,,,
176,SO1990A22501,1990,SO,Somalia,Bakool,,,,~Hudur~,Xudur,,,
177,SO1990A22502,1990,SO,Somalia,Bakool,,,,~El Barde~Elbarde~,Ceel Barde,,,
178,SO1990A22503,1990,SO,Somalia,Bakool,,,,~Tieglo~Tayeeglow~Tiyeegloow~,Tiyeglow,,,
179,SO1990A22504,1990,SO,Somalia,Bakool,,,,~Wajid~,Waajid,,,
180,SO1990A22505,1990,SO,Somalia,Bakool,,,,~Rabdhure~Yeed~Yed~Rab Dhuure~,Rabdhuure,,,
181,SO1990A22601,1990,SO,Somalia,Gedo,,,,~Garbaharey~Garbahare~,Garbahaarey,,,
182,SO1990A22602,1990,SO,Somalia,Gedo,,,,~Bardera~Bardhere~,Baardheere,,,
183,SO1990A22603,1990,SO,Somalia,Gedo,,,,~Belet Hawa~Beletxawa~Beled Hawo~Beled Xaawo~Beled Hawa~,Beled-Xaawo,,,
184,SO1990A22604,1990,SO,Somalia,Gedo,,,,~El Waq~Ceelwaaq~,Ceel Waaq,,,
185,SO1990A22605,1990,SO,Somalia,Gedo,,,,~Dolo~Dolow~Dollo~,Doolow,,,
186,SO1990A22606,1990,SO,Somalia,Gedo,,,,~Luq~Luk~,Luuq,,,
187,SO1990A22701,1990,SO,Somalia,Middle Juba,,,,~Buale~Bu'ale~Buaale~Buaale~,Bu'aale,,,
188,SO1990A22702,1990,SO,Somalia,Middle Juba,,,,,Jilib,,,
189,SO1990A22703,1990,SO,Somalia,Middle Juba,,,,~Sakow~,Saakow,,,
190,SO1990A22801,1990,SO,Somalia,Lower Juba,,,,~Kismayo~Kismayu~,Kismaayo,,,
191,SO1990A22802,1990,SO,Somalia,Lower Juba,,,,,Afmadow,,,
192,SO1990A22803,1990,SO,Somalia,Lower Juba,,,,~Badhadhe~,Badhaadhe,,,
193,SO1990A22804,1990,SO,Somalia,Lower Juba,,,,~Jamame~,Jamaame,,,
