country,admin,season,Banana,Beans (mixed),Cassava,Chili Pepper,Coffee,Groundnuts (In Shell),Lemon,Maize,Mango,Onions,Pineapple,Potato,Sorghum,Soybean,Sweet Potatoes,Tomato,Cabbage,Garlic,Millet,Rice,Carrots,Avocado,Wheat,Cowpea,Okras,Green Bean,Bambara groundnut,Cotton,Sesame Seed,Sorghum (Red),Fonio,Yams,Bush Bean,Pea,Pigeon Pea,Pole Bean,Taro,Sunflower Seed,Cucumber,Eggplant,Goussi,Lettuce,Molokhia,Watermelon,Sugarcane,Geocarpa groundnut,Squash and Melon Seeds,Pam Nut,Melon,Barley,Beans (White),Chick Peas,Fava Bean,Field Peas,Green Peppers,Guava,Hops,Linseed,Neug,Orange,Papaya,Teff,Ethiopian Cabbage,Fenugreek,Lentils,Beet,Oats,Rape,Mung bean,Tea,Broad Beans,Green Pea,Squash,Tobacco,Ginger,Pepper,Jute,Bean (Hyacinth),Paprika,Velvet Bean,Beans (Rosecoco),Capsicum Chinense,Sorrel,Celery,Cereal Crops,Cotton (Acala),Cotton (American),Cashew (unshelled),Maize (Yellow),Cottonseed
Niger,2012A2,Main,-,-,1 (30/74),1 (8/74),-,22 (52/74),-,12 (39/74),-,5 (9/74),-,0 (13/74),36 (59/74),-,1 (13/74),2 (17/74),1 (10/74),-,36 (62/74),11 (23/74),-,-,-,32 (61/74),8 (42/74),-,10 (49/74),2 (8/74),14 (47/74),-,8 (9/74),-,-,-,-,-,-,-,1 (1/74),-,-,1 (10/74),-,-,1 (7/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (10/74),-,-,-,-,-,-,-,-,1 (1/74),9 (54/74),-,-,-,-,-,-,-
Nigeria,1996A1,Wet,2 (7/37),-,2 (1/37),-,-,21 (36/37),-,24 (37/37),-,11 (16/37),-,-,19 (27/37),17 (27/37),10 (36/37),12 (34/37),-,-,19 (26/37),24 (37/37),-,-,7 (11/37),23 (37/37),10 (37/37),-,-,16 (18/37),12 (29/37),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8 (26/37),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 (6/37),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nigeria,1996A1,Annual,-,-,22 (37/37),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23 (30/37),-,-,-,-,18 (33/37),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rwanda,2006A2,Season A,4 (30/30),1 (28/30),3 (30/30),-,-,3 (24/30),-,4 (30/30),-,-,-,4 (30/30),2 (28/30),3 (30/30),4 (30/30),1 (30/30),1 (30/30),-,-,2 (24/30),1 (26/30),1 (30/30),2 (25/30),-,1 (2/30),1 (30/30),-,-,-,-,-,3 (30/30),2 (30/30),3 (30/30),-,3 (30/30),1 (30/30),1 (22/30),-,1 (30/30),-,-,-,-,1 (29/30),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (7/30),-,-,-,-,-,1 (29/30),1 (30/30),-,-,-,-,-,-,-,-,-,-,1 (18/30),0 (2/30),-,-,-,-,-
Rwanda,2006A2,Season B,4 (30/30),1 (28/30),4 (30/30),-,-,3 (26/30),-,4 (30/30),-,-,-,3 (30/30),3 (30/30),3 (30/30),4 (30/30),1 (29/30),1 (30/30),-,-,3 (23/30),1 (28/30),1 (30/30),2 (24/30),-,1 (4/30),1 (30/30),-,-,-,-,-,3 (30/30),2 (30/30),3 (30/30),-,2 (30/30),1 (30/30),1 (26/30),-,1 (30/30),-,-,-,-,1 (29/30),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (9/30),-,-,-,-,-,1 (29/30),1 (30/30),-,-,-,-,-,-,-,-,-,-,1 (17/30),1 (2/30),-,-,-,-,-
Rwanda,2006A2,Season C,-,-,-,-,-,-,-,-,-,-,-,1 (4/30),-,1 (2/30),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 (4/30),1 (3/30),-,0 (3/30),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan,2013A1,Main,-,-,-,-,-,28 (14/18),-,-,-,-,-,-,65 (18/18),-,-,-,-,-,47 (15/18),-,-,-,7 (8/18),-,-,-,-,-,37 (14/18),-,-,-,-,-,1 (7/18),-,-,16 (10/18),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14 (9/18),9 (10/18),-,-,-
Sudan,2013A1,Winter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24 (9/18),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sierra Leone,1960A2,Main,0 (13/14),-,2 (13/14),-,-,2 (13/14),-,2 (13/14),-,-,-,0 (13/14),2 (13/14),-,2 (13/14),-,-,-,0 (9/14),2 (13/14),-,-,-,-,2 (13/14),-,-,-,2 (13/14),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 (8/14),-,-
Senegal,2008A2,Main,-,-,7 (36/45),-,-,48 (42/45),-,35 (41/45),-,-,-,-,25 (42/45),-,1 (3/45),-,-,-,46 (43/45),33 (37/45),-,-,-,35 (43/45),-,-,-,-,4 (33/45),-,6 (10/45),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
