,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag,year,minRe
84,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2016,10,2017,3,agro_pastoral,production,40.0, ,2017, 
85,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2016,10,2017,3,agro_pastoral,yield,0.04, ,2017, 
86,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2017,10,2018,3,agro_pastoral,area,2150.0, ,2018, 
87,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2017,10,2018,3,agro_pastoral,production,600.0, ,2018, 
88,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2017,10,2018,3,agro_pastoral,yield,0.2790697674418604, ,2018, 
89,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1996,10,1997,3,none,area,2010.0, ,1997, 
90,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1996,10,1997,3,none,production,1005.0, ,1997, 
91,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1996,10,1997,3,none,yield,0.5, ,1997, 
92,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1997,10,1998,3,none,area,2225.0, ,1998, 
93,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1997,10,1998,3,none,production,1780.0, ,1998, 
94,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1997,10,1998,3,none,yield,0.8, ,1998, 
95,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1998,10,1999,3,none,area,1550.0, ,1999, 
96,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1998,10,1999,3,none,production,465.0, ,1999, 
97,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1998,10,1999,3,none,yield,0.3, ,1999, 
98,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1999,10,2000,3,none,area,830.0, ,2000, 
99,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1999,10,2000,3,none,production,250.0, ,2000, 
100,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,1999,10,2000,3,none,yield,0.3012048192771084, ,2000, 
101,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2000,10,2001,3,none,area,1600.0, ,2001, 
102,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2000,10,2001,3,none,production,320.0, ,2001, 
103,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2000,10,2001,3,none,yield,0.2, ,2001, 
104,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2001,10,2002,3,none,area,2375.0, ,2002, 
105,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2001,10,2002,3,none,production,475.0, ,2002, 
106,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2001,10,2002,3,none,yield,0.2, ,2002, 
107,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2002,10,2003,3,none,area,1200.0, ,2003, 
108,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2002,10,2003,3,none,production,480.0, ,2003, 
109,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2002,10,2003,3,none,yield,0.4, ,2003, 
110,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2003,10,2004,3,none,area,2600.0, ,2004, 
111,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2003,10,2004,3,none,production,1170.0, ,2004, 
112,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2003,10,2004,3,none,yield,0.45, ,2004, 
113,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2004,10,2005,3,none,area,738.0, ,2005, 
114,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2004,10,2005,3,none,production,369.0, ,2005, 
115,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2004,10,2005,3,none,yield,0.5, ,2005, 
116,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2005,10,2006,3,none,area,853.0, ,2006, 
117,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2005,10,2006,3,none,production,555.0, ,2006, 
118,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2005,10,2006,3,none,yield,0.6506447831184057, ,2006, 
119,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2006,10,2007,3,none,area,200.0, ,2007, 
120,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2006,10,2007,3,none,production,100.0, ,2007, 
121,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2006,10,2007,3,none,yield,0.5, ,2007, 
122,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2007,10,2008,3,none,area,300.0, ,2008, 
123,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2007,10,2008,3,none,production,60.0, ,2008, 
124,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2007,10,2008,3,none,yield,0.2, ,2008, 
125,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2008,10,2009,3,none,area,2472.0, ,2009, 
126,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2008,10,2009,3,none,production,3555.972, ,2009, 
127,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2008,10,2009,3,none,yield,1.4385, ,2009, 
128,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2009,10,2010,3,none,area,5587.0, ,2010, 
129,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2009,10,2010,3,none,production,1084.9346, ,2010, 
130,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2009,10,2010,3,none,yield,0.1941891175944156, ,2010, 
131,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2011,10,2012,3,none,area,4000.0, ,2012, 
132,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2011,10,2012,3,none,production,1500.0, ,2012, 
133,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Deyr,2011,10,2012,3,none,yield,0.375, ,2012, 
134,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2012,3,2012,8,agro_pastoral,area,6500.0, ,2012, 
135,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2012,3,2012,8,agro_pastoral,production,4400.0, ,2012, 
136,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2012,3,2012,8,agro_pastoral,yield,0.676923076923077, ,2012, 
137,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2013,3,2013,8,agro_pastoral,area,7000.0, ,2013, 
138,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2013,3,2013,8,agro_pastoral,production,4000.0, ,2013, 
139,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2013,3,2013,8,agro_pastoral,yield,0.5714285714285714, ,2013, 
140,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2014,3,2014,8,agro_pastoral,area,5000.0, ,2014, 
141,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2014,3,2014,8,agro_pastoral,production,3200.0, ,2014, 
142,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2014,3,2014,8,agro_pastoral,yield,0.64, ,2014, 
143,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2015,3,2015,8,agro_pastoral,area,6000.0, ,2015, 
144,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2015,3,2015,8,agro_pastoral,production,1500.0, ,2015, 
145,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2015,3,2015,8,agro_pastoral,yield,0.25, ,2015, 
146,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2016,3,2016,8,agro_pastoral,area,10000.0, ,2016, 
147,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2016,3,2016,8,agro_pastoral,production,5200.0, ,2016, 
148,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2016,3,2016,8,agro_pastoral,yield,0.52, ,2016, 
149,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2017,3,2017,8,agro_pastoral,area,5400.0, ,2017, 
150,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2017,3,2017,8,agro_pastoral,production,2800.0, ,2017, 
151,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2017,3,2017,8,agro_pastoral,yield,0.5185185185185185, ,2017, 
152,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2018,3,2018,8,agro_pastoral,area,4000.0, ,2018, 
153,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2018,3,2018,8,agro_pastoral,production,150.0, ,2018, 
154,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2018,3,2018,8,agro_pastoral,yield,0.0375, ,2018, 
