country,season_name,product,crop_production_system,planting_month,harvest_month,planting_year,harvest_year
Burundi,Season C,Beans,none,6,11,0,0
Burundi,Season C,Bush bean,none,6,11,0,0
Burundi,Season C,Cassava,none,6,11,0,0
Burundi,Season C,Cassava (non-bitter),none,6,11,0,0
Burundi,Season C,Cooking Banana,none,6,11,0,0
Burundi,Season C,Cowpeas,none,6,11,0,0
Burundi,Season C,Groundnuts,none,6,11,0,0
Burundi,Season C,Maize,none,6,11,0,0
Burundi,Season C,Millet,none,6,11,0,0
Burundi,Season C,Pea,none,6,11,0,0
Burundi,Season C,Pigeon Peas,none,6,11,0,0
Burundi,Season C,Pole bean,none,6,11,0,0
Burundi,Season C,Potato,none,6,11,0,0
Burundi,Season C,Rice,none,6,11,0,0
Burundi,Season C,Sorghum,none,6,11,0,0
Burundi,Season C,Soybean,none,6,11,0,0
Burundi,Season C,Sunflower Seed,none,6,11,0,0
Burundi,Season C,Sweet Potatoes,none,6,11,0,0
Burundi,Season C,Taro,none,6,11,0,0
Burundi,Season C,Wheat,none,6,11,0,0
Burundi,Season C,Yams,none,6,11,0,0
Chad,Cold-off,Sorghum,none,1,3,0,0
Chad,Main,Bambara groundnut,none,6,11,0,0
Chad,Main,Cassava,none,6,11,0,0
Chad,Main,Cowpeas,none,6,11,0,0
Chad,Main,Fonio,none,6,11,0,0
Chad,Main,Groundnuts (In Shell),none,6,11,0,0
Chad,Main,Maize,none,6,11,0,0
Chad,Main,Millet,none,6,11,0,0
Chad,Main,Rice,none,6,11,0,0
Chad,Main,Sesame Seed,none,6,11,0,0
Chad,Main,Sorghum,none,6,11,0,0
Chad,Main,Sweet Potatoes,none,6,11,0,0
Chad,Main,Taro,none,6,11,0,0
Chad,Main,Wheat,none,6,11,0,0
Senegal,Main,Cassava,none,6,11,0,0
Senegal,Main,Cowpeas,none,6,11,0,0
Senegal,Main,Cowpeas,recessional (PS),6,11,0,0
Senegal,Main,Fonio,none,6,11,0,0
Senegal,Main,Groundnuts,none,6,11,0,0
Senegal,Main,Maize,irrigated,6,11,0,0
Senegal,Main,Maize,none,6,11,0,0
Senegal,Main,Maize,recessional (PS),6,11,0,0
Senegal,Main,Millet,none,6,11,0,0
Senegal,Main,Rice,irrigated,6,11,0,0
Senegal,Main,Rice,none,6,11,0,0
Senegal,Main,Sesame Seed,none,6,11,0,0
Senegal,Main,Sorghum,irrigated,6,11,0,0
Senegal,Main,Sorghum,none,6,11,0,0
Senegal,Main,Sorghum,recessional (PS),6,11,0,0
Senegal,Main,Sweet Potatoes,none,6,11,0,0
Senegal,Main-off,Groundnuts,irrigated,2,7,0,0
Senegal,Main-off,Maize,irrigated,2,7,0,0
Senegal,Main-off,Rice,irrigated,2,7,0,0
Niger,Main,Bambara groundnut,none,6,12,0,0
Niger,Main,Cassava,none,6,12,0,0
Niger,Main,Cowpeas,none,6,12,0,0
Niger,Main,Fonio,none,6,12,0,0
Niger,Main,Groundnuts (In Shell),none,6,12,0,0
Niger,Main,Maize,none,6,12,0,0
Niger,Main,Millet,none,6,12,0,0
Niger,Main,Okras,none,6,12,0,0
Niger,Main,Onions,none,6,12,0,0
Niger,Main,Rice,none,6,12,0,0
Niger,Main,Sesame Seed,none,6,12,0,0
Niger,Main,Sorghum,none,6,12,0,0
Niger,Main,Sorrel,none,6,12,0,0
Niger,Main,Tigernut,none,6,12,0,0
Niger,Main,Tomato,none,6,12,0,0
Niger,Main,Cotton (Unspecified),none,6,12,0,0
Madagascar,Annual,Beans,none,11,6,-1,-1
Madagascar,Annual,Cassava,none,11,6,-1,-1
Madagascar,Annual,Groundnuts,none,11,6,-1,-1
Madagascar,Annual,Maize,none,11,6,-1,-1
Madagascar,Annual,Pigeon Peas,none,11,6,-1,-1
Madagascar,Annual,Potato,none,11,6,-1,-1
Madagascar,Annual,Rice,none,11,6,-1,-1
Madagascar,Annual,Sugarcane,none,11,6,-1,-1
Madagascar,Annual,Sweet Potatoes,none,11,6,-1,-1
Madagascar,Annual,Coffee (unspecified),none,11,6,-1,-1
Central African Republic,Main,Cassava,none,4,9,0,-1
Central African Republic,Main,Groundnuts,none,4,9,0,-1
Central African Republic,Main,Maize,none,4,9,0,-1
Central African Republic,Main,Rice,none,4,9,0,-1
Central African Republic,Main,Sesame Seed,none,4,9,0,-1
Guinea,Main,Cassava,none,5,12,0,0
Guinea,Main,Groundnuts,none,5,12,0,0
Guinea,Main,Maize,none,5,12,0,0
Guinea,Main,Rice,none,5,12,0,0
Kenya,Annual,Banana,none,1,12,0,-1
Kenya,Annual,Barley,none,1,12,0,-1
Kenya,Annual,Beans,none,1,12,0,-1
Kenya,Annual,Cassava,none,1,12,0,-1
Kenya,Annual,Cocoyam,none,1,12,0,-1
Kenya,Annual,Cowpeas,none,1,12,0,-1
Kenya,Annual,Gram,none,1,12,0,-1
Kenya,Annual,Maize,none,1,12,0,-1
Kenya,Annual,Millet,none,1,12,0,-1
Kenya,Annual,Pigeon Peas,none,1,12,0,-1
Kenya,Annual,Potato,none,1,12,0,-1
Kenya,Annual,Rice,none,1,12,0,-1
Kenya,Annual,Sorghum,none,1,12,0,-1
Kenya,Annual,Sweet Potatoes,none,1,12,0,-1
Kenya,Annual,Wheat,none,1,12,0,-1
Kenya,Annual,Yams,none,1,12,0,-1
Kenya,Long,Maize,none,3,8,0,0
Kenya,Long,Sorghum,none,3,8,0,0
Kenya,Short,Maize,none,10,3,-1,0
Kenya,Short,Sorghum,none,10,3,-1,0
Kenya,Annual,Coffee (unspecified),none,1,12,0,-1
Kenya,Annual,Tea Plant,none,1,12,0,-1
Liberia,Main,Cassava,none,4,12,0,0
